배관설비 소재 및 부품관련 연구위원 모집,월급 | 230만원 ~ 230만원,정규 | 주5일,09:00 ~ 18:00,담당업무 :  *배관설비 분야 부품개발 및 연구 -CAD 설계 가능자 -부품소재 및 기계금속 전문적 소양을 가진자,경력5년 | 대졸(4년) | 경기도 평택시 고덕면
연구전담부서 소장 및 팀원 모집,월급 | 185만원 이상,정규 | 주6일,08:30 ~ 18:00,담당업무 :  셀프세차장. 자동차광막 연구개발 업무 관련 자격증 소지자우대 10년이상 경력자우대,경력10년 | 대졸(2~3년) | ~ 대졸(4년) 광주광역시
"JAVA, JAVASCRIPT 프로그래밍 개발인력을 모집합니다.","연봉 | 4,000만원 ~ 7,000만원",정규 | 주5일,09:00 ~ 18:00,"담당업무 :  자바 프로그래밍 개발 업무 설계 및 분석 CRM, ERP개발",경력15년 | 대졸(2~3년) | ~ 석사 서울특별시
"건설기초안전교육강사. 안동시 근무 (건설안전1명), 정년 없음",월급 | 210만원 이상,시간 | (장기),,담당업무 :  건설근로자들이 건설현장에 취업하기 전 받는 법정 기초안전교육 교안 있음 교육생들이 매일 바뀌므로 처음 1일 정도만 지나면 익숙해...,경력7년 | 학력무관 | 경상북도 안동시 경동로
LED전광판 개발 기술자 모집,"연봉 | 2,800만원 ~ 3,500만원",비정규 | 주5일,09:00 ~ 18:00,"담당업무 :  LED전광판 기술 개발 (H/W , S/W) , 전광판 관련 개발 및 특허 인증 업무",경력5년 | 대졸(4년) | ~ 박사 서울특별시
직업훈련교사-전기직종 훈련교사 채용,월급 | 300만원 ~ 350만원,정규 | 주5일,09:00 ~ 18:00,"담당업무 :  [ 실업자일반(주간)반 / 재직자(야간)반 ] 전기내선공사(전기기능사) 자격취득을 목표로 하는 과정에서 필기, 실기 교육 및 훈련생 지...",경력5년 | 대졸(4년) | 강원도 춘천시 동내면
"제어판넬 설계,제작,설치,전기공사 업무가능 직원 모집","연봉 | 3,000만원 ~ 4,000만원",정규 | 주5일,08:30 ~ 18:30,"담당업무 :  - 제어판넬 설계,제작 및 설치,전기공사 업무(PLC.터치판넬 제작 경력자) - 인근거주자, 이공계 우대 - 08:30~18:30(주5일근무)",경력3년 | 고졸 | ~ 대졸(2~3년) 경기도
금형 설계 및 캐드 사무원 모집합니다. (삼랑진 공장근무자),"시급 | 11,000원 이상",정규 | 주5일,,"담당업무 :  금형 설계 도면 작성 및 3D 변환, 조선 해양 의장관련 설계 경험자 및 건설기계관련 경험자 건축 디자인도 가능한분 우대.",경력20년 | 학력무관 | 경상남도 밀양시 삼랑진읍
도금협동화 단지 환경 및 시설 관리 모집,"연봉 | 2,400만원 ~ 2,600만원",정규 | 주5일,,담당업무 :  당사에서는 도금단지 폐수처리장 운영 및 대기방지시설의 환경 시설 관리와 단지내 시설관리를 같이 할 사원분을 채용합니다. 근무시...,경력무관 | 학력무관 | 인천광역시 남동구 승기천로
"자동화 설비 PLC,PC 제어설계 경력","연봉 | 3,000만원 ~ 6,000만원",정규 | 주5일,10:00 ~ 19:00,"담당업무 :  반도체 및 디스플레이 장비 제어, 운영 프로그램 개발 자동화 설비 제어, 운영 프로그램 개발 PLC(Mitsubishi, Omron, AB), PC ...",경력1년 | 대졸(2~3년) | ~ 석사 충청남도
조경 현장소장 및 관리자 모집합니다,월급 | 300만원 ~ 350만원,정규 | 주6일,,"담당업무 :  조경 현장시공(인부와 같이 일하실수 있는분) 및 관리 가능하신 반장 및 소장 모집합니다. 조경현장 유경험자, 1종이상 운전면허소지 ...",경력3년 | 학력무관 | 경기도 시흥시 시흥대로
대기환경 측정기술자,"연봉 | 2,600만원 ~ 3,600만원",정규 | 주5일,09:00 ~ 18:00,"담당업무 :  대기환경 측정업무 (대기 환경관련 자격증 소지자 , 관련학과 졸업자)",경력무관 | 학력무관 | 대구광역시 남구 대명남로
"전기,통신,신호,전차선,소방 감리 하실분 모십니다.",월급 | 200만원 ~ 350만원,정규 | 주5일,09:00 ~ 18:00,"담당업무 :  전기분야(경력직) : 배전경력 5년이상, 고급감리 이상 (설계/감리) 신호분야(경력직) : 철도경력 3년이상 중급 감리 이상 (설계/감리)...",경력3년 | 학력무관 | 부산광역시 부산진구 동평로
판교 대장동 힐스테이트 엘포레아파트현장 전기안전관리자 모집,월급 | 250만원 ~ 270만원,비정규 | 주5일,09:00 ~ 18:00,담당업무 :  현대건설(주) 판교 대장동 힐스테이트 엘포레아파트 전기안전관리 기간 2020. 11월 24일경 부터 약 7개월( 변경될수 있음) 모집유형 :...,경력4년 | 학력무관 | 경기도 성남시 분당구
공무공사과장업무,월급 | 300만원 이상,정규 | 주6일,08:00 ~ 17:00,담당업무 :  현장 작업 및 공무 가능자,경력2년 | 학력무관 | 경기도 동두천시 동두천로
집합건물 전기안전관리자(전기과장) 채용,"연봉 | 2,800만원 ~ 3,000만원",정규 | 주5일,09:00 ~ 18:00,"담당업무 :  - 특고압 집합건물의 수,변전설비의 안전관리자(선임) - 집합건물의 전기시설 안전관리자",경력4년 | 고졸 | ~ 대졸(4년) 부산광역시
"컴퓨터 네트워크 및 CCTV,주차,출입통제 관련 기술자를 모집 합니다.",월급 | 216만원 이상,비정규 | 주5일,09:00 ~ 18:00,"담당업무 :  전기계측, 감시카메라, 통신장비(주차관제/출입통제/자동제어등)구축 및 솔루션 영업 서류능숙자/정보통신공사/나라장터 입찰 유경험...",경력무관 | 대졸(4년) | 경상남도 창원시 마산회원구
지적측량기술직 경력직사원 모집,"연봉 | 3,600만원 이상",정규 | 주5일,,담당업무 :  - 지적확정측량 및 지적분야,경력5년 | 고졸 | ~ 대졸(4년) 경기도
[두드림패션센터]전기안전관리자 모집,월급 | 270만원 ~ 270만원,비정규 | 주5일,09:00 ~ 18:00,"담당업무 :  - 집합건물 전기안전관리및 기타업무 - 전기산업기사 자격증 필수 ■ 수전설비용량 1,500kw이상 선임 가능자 ■ 발전설비용량 364kw",경력5년 | 학력무관 | 경기도 동두천시 동두천로
"산업위생관리기사. 경북안동 근무(안전,보건강사1명), 건강하면 정년 없음",월급 | 230만원 이상,정규 | 주6일,,"담당업무 :  - 다음의 어느 하나에 해당하는 사람 산업보건ㆍ위생분야별 1명 • 산업보건지도사 자격을 가진 사람, 또는 산업위생관리기술사 • 산...",경력1년 | 학력무관 | 경상북도 안동시 경동로
전기안전관리자 모집공고,"연봉 | 3,300만원 ~ 3,300만원",비정규 | 주5일,08:00 ~ 17:00,담당업무 :  대상시설 건물 내 전기안전관리자 선임으로서 그 관할 업무 일체,경력2년 | 고졸 | ~ 대졸(4년) 부산광역시
배전반 / 구조 설계 및 프로그램,월급 | 250만원 이상,정규 | 주5일,08:30 ~ 17:30,담당업무 :  업무내용 배전반 / 구조 설계 및 프로그램,경력3년 | 대졸(2~3년) | ~ 대졸(4년) 경기도
유압기계 조립원,월급 | 180만원 ~ 220만원,정규 | 주5일,08:30 ~ 17:30,"담당업무 :  유압기계 설계,조립 기술자 (중장년층 우대 50대~60대)",경력3년 | 학력무관 | 경기도 김포시 하성면
수처리기계 기술자 모집합니다.,"연봉 | 3,600만원 ~ 4,000만원",정규 | 주5일,,"담당업무 :  환경 수처리 및 폐기물 관련 기계 설계 및 설비 경력있으신분 모집하고 있습니다. 기숙사 제공하며, 월급은 면접시 협의 가능한 부분...",경력5년 | 학력무관 | 전라북도 정읍시 고부면
"토목초급이상 기술자 또는 건설재료시험기사 모집,동정재하시험지반조사계측경험자우대",월급 | 300만원 이상,정규 | 주5일,08:30 ~ 18:30,"담당업무 :  말뚝동재하시험 말뚝정재하시험 평판재하시험 계측관리 지반조사 마이크로말뚝인발재하시험 토목설계, 보링그라우팅전문건설업,자분탐...",경력무관 | 고졸 | ~ 대졸(4년) 부산광역시
[퇴직기술인력 중소기업지원사업]연구개발 및 제품 개발연구원을 모집합니다,월급 | 300만원 ~ 300만원,정규 | 주5일,08:30 ~ 17:30,"담당업무 :  Melt Blown(MB) 기계 오퍼레이터 필터관련제품 개발 유경험자, 산업공학전공 등 이공계전공자, cad가능자 우대",경력3년 | 대졸(4년) | ~ 석사 경상남도
"PLM 개발/웹 개발자 정규직 채용(JAVA, PLM 솔루션)-경력 우대/생애 최고 연봉 보장, 경력 必",월급 | 600만원 이상,정규 | 주5일,08:30 ~ 17:30,"담당업무 :  JAVA 프로그래밍, 프로세스 혁신 컨설팅, 시스템 구축, Package 개발 中",경력25년 | 대졸(4년) | 서울특별시 강남구 밤고개로1길
자동차 전자파 시험원 모집,"연봉 | 2,200만원 이상",정규 | 주5일,09:00 ~ 18:00,담당업무 :  자동차 전자파(신뢰성포함) 시험원,경력무관 | 학력무관 | 경기도 용인시 처인구
종합건설현장소장구함..,"연봉 | 4,500만원 이상",비정규 | 주6일,,담당업무 :  종합건설 현장소장입니다.. 함께 성실히 일할사람을 구합니다.. 건축기사 자격증 (중급)이상은 필수입니다.,경력10년 | 고졸 | ~ 대졸(4년) 서울특별시
"토목초급이상 기술자 또는 건설재료시험기능사 모집,동정재하시험지반조사계측경험자우대",월급 | 250만원 이상,비정규 | 주5일,08:30 ~ 18:30,"담당업무 :  자분탐상검사,말뚝동재하시험 말뚝정재하시험 평판재하시험 계측관리 지반조사 마이크로말뚝인발재하시험 토목설계, 보링그라우팅전문...",경력무관 | 고졸 | ~ 대졸(4년) 부산광역시
"[대구사무실]기구,기계,개발 설계인원 구인 (오토캐드, 인벤터 사용가능)","연봉 | 2,500만원 이상",정규 | 주5일,09:00 ~ 18:00,담당업무 :  당사는 방범용CCTV 및 이동식 불법주정차 단속시스템 개발하는 강소기업입니다. 기구 및 제품개발 설계 인력 충원 계획으로 아래와 같...,경력10년 | 학력무관 | 대구광역시 수성구 알파시티1로31길
(주)현우엔지니어링에서 함께할 전기기술자를 모집합니다.,월급 | 200만원 ~ 300만원,비정규 | 주5일,09:00 ~ 18:00,"담당업무 :  ◎ 모집요강 안녕하세요. 저희는 전기설비 안전진단 전문업체 (주)현우엔지니어링 입니다. 주력 사업은 전기안전관리자 직무고시, 전...",경력무관 | 학력무관 | 세종특별자치시 금남면 성덕2길
기계설계 기술직(기계 및 공조 캐드원) 모집[경력3년이상],월급 | 230만원 이상,비정규 | 주5일,09:00 ~ 18:00,"담당업무 :  설계직종의 경력자로서 냉동,공조,냉난방기 관련 설계 경력자,전기배전반,자동제어설계경력자",경력3년 | 고졸 | ~ 대졸(4년) 강원도
석면조사자/석면감리(일반및고급) 인재 채용,월급 | 300만원 ~ 500만원,비정규 | 주5일,09:00 ~ 18:00,"담당업무 :  건축기사, 토목기사, 산업안전산업기사, 건설안전산업기사, 산업위생관리산업기사, 대기환경산업기사 또는 폐기물처리산업기사 이상의 ...",경력무관 | 학력무관 | 경기도 양주시 천보산로
백앤드 개발자 경력자 채용,월급 | 250만원 ~ 350만원,정규 | 주5일,09:00 ~ 18:00,"담당업무 :  [모집부문] 백앤드 개발자 경력직 [담당업무] - DB Backand 개발 및 관리 - WEB, APP 플랫폼 개발 및 관리 - Laraval 프레임...",경력1년 | 학력무관 | 서울특별시 구로구 디지털로26길
산업안전기사 채용,"연봉 | 3,000만원 ~ 3,600만원",정규 | 주5일,09:00 ~ 18:00,담당업무 :  1. 제조업/비제조업(건설업제외) 안전관리 기술지도 2. 산업안전관련업무 3. 위험성평가/유해위험방지계획서 등 기타 안전관리컨설팅 ...,경력1년 | 고졸 | ~ 대졸(4년) 경기도
저희 빅데이터 솔루션 개발에 동참하실 자바개발자를 모십니다,"연봉 | 3,500만원 ~ 8,000만원",정규 | 주5일,09:00 ~ 18:00,담당업무 :  1. Java 개발자 - Native Java 개발 경험자 우대 - Spring serverless 환경 경험 (Spring Boot)자 우대 - Micro Service 환경...,경력3년 | 학력무관 | 서울특별시 강서구 마곡중앙1로
수질환경산업기사  및 토목  전기기사 모집,월급 | 250만원 ~ 250만원,정규 | 주6일,,"담당업무 :  오폐수 시설 시공, 관리 점검 -수질환경산업기사 자격증 또는 토목, 전기기사 자격증 있으신 분 지원 바랍니다.",신입 | 학력무관 | 경기도 고양시 덕양구
함께 일할 경력있는 건축기술자를 찾습니다.,월급 | 300만원 ~ 500만원,정규 | 주5일,09:00 ~ 18:00,담당업무 :  책임성과 능력을 갖춘 경력이 있는 건축기술자로서 건설현장 관리를 하실수 있는 분을 찾습니다.,경력3년 | 학력무관 | 부산광역시 기장군 기장읍
에너지진단 신입 -경력자 모집,"연봉 | 2,800만원 ~ 3,000만원",비정규 | 주5일,09:00 ~ 18:00,담당업무 :  SSE엔지니어링(주)는 에너지진단 전문기관으로써 에너지 관련 전문인력 및 기술장비를 갖추어 산업체 및 건물의 에너지 사용실태를 파...,경력무관 | 학력무관 | 서울특별시 서초구 동산로16길
이온수기/정수기 제조업체 프로그램 개발자 모집,월급 | 250만원 ~ 350만원,정규 | 주5일,09:00 ~ 18:00,담당업무 :  (주)이오니아는 1999년에 설립된 회사로 사원수 27명 규모의 중소기업입니다. 경기도 부천시 도당동에 위치하고 있으며 알칼리이온수...,경력3년 | 대졸(2~3년) | ~ 석사 경기도
안전관리원(암모니아),월급 | 250만원 ~ 300만원,정규 | 주5일,,담당업무 :  안전관리원 * 자격요건 -냉동기계기능사 2급 이상 소지자 -동종업계 5년이상 -냉동기계양성교육이수자,경력5년 | 학력무관 | 경상남도 창원시 의창구
건축기사 및 현장소장 구함,월급 | 200만원 이상,정규 | 주5일,09:00 ~ 17:00,"담당업무 :  건축현장기사,현장소장,현장관리,자격증소지자,건축기사 졸업예정자 가능 현장건축토목기사 [건축>건축시공>건축목공시공] 건축...",경력무관 | 학력무관 | 충청북도 청주시 흥덕구
"울릉도 현장 품질관리자, 안전관리자 모집","연봉 | 4,000만원 이상",정규 | 주5일,08:00 ~ 17:00,"담당업무 :  안전관리자(자격증소지자, 초급) 건설현장 안전 관리 품질관리자(자격증소지자, 초급이상) 건설현장 품질 관리",경력무관 | 학력무관 | 경상북도 울릉군 울릉읍
공무_시설/설비 유지보수,"연봉 | 2,500만원 ~ 3,000만원",정규 | 주5일,08:00 ~ 17:00,"담당업무 :  가. RACK및 대차,기타 용품 제작[용접] 나. 시설,설비 유지보수 다.전기안전 관리 및 설치 라.소방안전관리자 마.생산현장 안전용품 ...",경력3년 | 학력무관 | 광주광역시 광산구 하남산단2번로
"[경력직 건축]  현장소장, 현장공무  채용공고","연봉 | 4,000만원 이상",정규 | 주5일,07:30 ~ 16:30,담당업무 :  더케이종합건설(주)에서 함께 근무하실 역량있는 경력직 직원을 모집합니다. ▣ 근무지 본 사 : 경기도 일산동구 근무지 : 경기도 평...,경력5년 | 학력무관 | 경기도 평택시 팽성읍
"배전, 변전 감리원 모집",월급 | 300만원 이상,정규 | 주5일,09:00 ~ 18:00,"담당업무 :  변전, 배전공사 감리 업무 수행 변전, 배전경력 5년 이상자로, 감리원 수첩 소지자(필수)",경력5년 | 학력무관 | 대전광역시 동구 우암로
[용인시일자리박람회 10/21(수) 참여업체] ㈜대한후렉시블_연구소장 모집,"연봉 | 3,000만원 이상",정규 | 주5일,09:00 ~ 18:00,담당업무 :  ❍ 일 시 : 2020. 10. 21.(수) 12:00 ~ 17:00 ❍ 장 소 : 용인미르스타디움(경전철 삼가역) - 면접을 희망하시는 분은 이력서...,경력10년 | 대졸(4년) | ~ 박사 경기도
"(주)브레인테크-전자기기,의료기기 R&D 연구원 모집 (회로,펌웨어,App,기구,기획,보증,지원)","연봉 | 3,000만원 ~ 3,600만원",정규 | 주5일,09:00 ~ 18:00,담당업무 :  2020년 (주)브레인테크를 선도할 경력직 인재를 초빙합니다. 나이와 상관없이 직접 실무 할수있는 분을 찾습니다. R & D : 생활가전 ...,경력무관 | 대졸(4년) | ~ 박사 경기도
현장소장모집 (건축초급시공경력3년이상/서울현장근무),월급 | 350만원 ~ 350만원,정규 | 주5일,,"담당업무 :  서울지역 (종로구, 구로구) 현장소장 모집",경력3년 | 학력무관 | 서울특별시 구로구 디지털로32나길
전기 현장 소장 모집-안산현장 시흥현장근무,월급 | 300만원 ~ 500만원,정규 | 주5일,08:00 ~ 19:00,"담당업무 :  -전기공사 현장소장 -안산, 시흥 현장 근무 -전기공사 기술자 수첩소지자/전기관련 자격증 소지자/경력자",경력7년 | 고졸 | ~ 대졸(4년) 경기도
[(주)우신건설안전기술단] 건설현장 재해예방 기술지도 업무 및 안전진단 직원 모집,"연봉 | 3,500만원 이상",정규 | 주5일,09:00 ~ 18:00,담당업무 :  건설현장 재해예방기술지도 요원을 모집합니다. 건설안전기사.산업안전기사(2년)자격증 소지자로 1년이상 건설현장에서 재해예방기술지...,경력1년 | 학력무관 | 서울특별시 서초구 신반포로47길
"공장장급 채용 공고(CS, 파워 프레스/성형기/로봇용접 설비)",월급 | 350만원 이상,정규 | 주5일,08:30 ~ 17:30,담당업무 :  CS 프레스 및 파워프레스 운용관리 및 직접 운용 경력 : 10년이상 경력자로 공장 운영 전반적 경험자 자동 로봇용접량이 많음. 스켈프...,경력10년 | 중졸 | ~ 대졸(4년) 경기도
건축 캐드원 구인,월급 | 200만원 ~ 250만원,정규 | 주5일,09:00 ~ 18:00,담당업무 :  건축 도면 작성 및 공무,경력3년 | 학력무관 | 경기도 화성시 우정읍
톡톡교육개발연구원 산업안전(보건) 강사 구인,월급 | 180만원 이상,시간 | (장기),10:00 ~ 17:00,"담당업무 :  * 근로자 안전보건, 관리감독자 교육업무 * 산업안전(보건)교육 강의(분기별 12시간 이상 필수) * 지원자 확인사항 (다음의 어느 하나...",경력2년 | 학력무관 | 광주광역시 서구 상무화원로4번길
건설현장 안전감시단 모집,월급 | 280만원 ~ 300만원,정규 | 주6일,,담당업무 :  [직무내용] 건설현장 안전감시단 (근로자 안전관리 및 현장 안전관리) 업무 [근무시간 및 형태] (오전) 7시 00분~(오후) 5시 00분 / ...,경력무관 | 학력무관 | 서울특별시 영등포구 63로
창호관련 도면 및 공무 담당자 구함,월급 | 250만원 이상,정규 | 주5일,08:30 ~ 17:30,담당업무 :  창호관련 도면작업 / 자재관리 / 공무업무,경력무관 | 학력무관 | 경기도 화성시 장안면
신입 및 경력 정규직 R&D 인력 채용,"연봉 | 3,000만원 ~ 5,000만원",정규 | 주5일,09:00 ~ 18:00,"담당업무 :  고주파 전력변환장치(인버터,컨버터)용 제어기(마이크로 프로세스 및 DSP) 펌웨어 개발 C, C++ 언어 TI DSP 28xx 시리즈 펌웨어 개...",경력무관 | 학력무관 | 경기도 용인시 수지구
전기내선공사(전기기사/전기기능사/전기기능장)직업훈련교사 (직업능력개발훈련교사 자격증소유자) 구인합니다,월급 | 200만원 ~ 500만원,정규 | 주5일,09:00 ~ 18:00,"담당업무 :  현재 전기근로자과정과 국기(전기기능사)과정이 진행중입니다 진행중인 과정에 유능하신 교수님을 모십니다 전기내선공사(전기기사)),...",경력1년 | 학력무관 | 경상북도 구미시 송원동로
건축감리 기술경력자 채용(건축/기계-교육이수/PQ대기),월급 | 300만원 이상,정규 | 주5일,09:00 ~ 18:00,담당업무 :  1. 기술등급(중급이상)건축상주감리/건축법 감리-2명(근무지 익산)급여 300만원 이상 2. 건축상주감리/전문교육이수필수 /주택법감리3...,경력3년 | 학력무관 | 전라북도 익산시 인북로
"토목기술자(공무,공사)",월급 | 400만원 이상,정규 | 주6일,08:00 ~ 17:00,"담당업무 :  주요업무 공무: 설계변경,실정보고,견적작업,기성,준공,품질관리,현장관리, 대관,대내관련 서류작성 등 업무 공사: 측량,안전관리,공...",경력5년 | 학력무관 | 경기도 용인시 기흥구
